customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,OnlineSecurity,TechSupport,StreamingTV,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-00000,Male,0,Yes,Yes,52,Yes,Fiber optic,No internet,No,Yes,Month-to-month,Bank transfer,118.95,5773.62,0
CUST-00001,Male,0,No,Yes,15,Yes,DSL,No internet,No internet,No,Month-to-month,Electronic check,88.43,1301.82,1
CUST-00002,Female,0,No,Yes,72,Yes,DSL,Yes,Yes,No,Month-to-month,Mailed check,114.9,7829.83,0
CUST-00003,Female,1,No,No,61,Yes,DSL,No internet,Yes,No,One year,Bank transfer,34.26,2104.41,0
CUST-00004,Female,0,Yes,Yes,21,Yes,Fiber optic,No internet,No,Yes,Two year,Bank transfer,58.21,1148.78,0
CUST-00005,Female,0,Yes,No,24,Yes,DSL,No,No internet,No internet,Month-to-month,Bank transfer,75.47,1814.33,0
CUST-00006,Female,0,No,No,3,Yes,Fiber optic,No,Yes,No,One year,Credit card,27.68,77.35,1
CUST-00007,Female,0,No,No,22,Yes,DSL,No,Yes,No internet,One year,Bank transfer,20.42,464.6,0
CUST-00008,Male,0,No,Yes,53,Yes,Fiber optic,No,No internet,No internet,One year,Credit card,87.04,4847.41,0
CUST-00009,Male,0,Yes,Yes,2,Yes,Fiber optic,No,No,Yes,Month-to-month,Bank transfer,84.18,155.24,0
CUST-00010,Female,0,No,Yes,30,Yes,Fiber optic,No,No,Yes,One year,Electronic check,61.08,1820.6,0
CUST-00011,Male,0,No,No,38,Yes,Fiber optic,No,Yes,No internet,One year,Electronic check,68.96,2395.58,0
CUST-00012,Male,0,No,No,2,Yes,DSL,Yes,Yes,No internet,One year,Mailed check,61.54,125.5,0
CUST-00013,Male,0,Yes,Yes,64,Yes,No,No,No,No,One year,Credit card,22.4,1366.05,0
CUST-00014,Female,0,No,No,60,Yes,DSL,No internet,No,No,Two year,Mailed check,53.54,3230.15,0
CUST-00015,Male,0,No,No,21,Yes,Fiber optic,Yes,Yes,No,Month-to-month,Bank transfer,37.71,794.68,0
CUST-00016,Male,0,Yes,No,33,Yes,No,No,No internet,No internet,Two year,Bank transfer,29.84,1068.29,0
CUST-00017,Male,1,No,Yes,58,Yes,Fiber optic,No,No internet,Yes,Month-to-month,Electronic check,115.67,6774.72,1
CUST-00018,Male,0,No,No,22,Yes,No,No internet,Yes,No internet,One year,Mailed check,79.94,1787.87,0
CUST-00019,Male,0,No,Yes,49,Yes,DSL,Yes,Yes,No,Month-to-month,Bank transfer,92.87,4461.12,0
CUST-00020,Male,0,Yes,Yes,59,Yes,Fiber optic,No internet,Yes,No,Month-to-month,Bank transfer,51.54,3313.98,0
CUST-00021,Male,1,Yes,No,42,Yes,Fiber optic,No internet,Yes,Yes,One year,Credit card,59.31,2629.12,0
CUST-00022,Female,0,No,No,60,Yes,DSL,Yes,No,No internet,One year,Bank transfer,43.69,2508.89,0
CUST-00023,Male,0,Yes,No,15,Yes,Fiber optic,No internet,No internet,No,Month-to-month,Mailed check,29.7,476.17,1
CUST-00024,Male,0,No,Yes,62,Yes,Fiber optic,Yes,No internet,Yes,Month-to-month,Electronic check,37.9,2318.03,0
CUST-00025,Male,0,No,Yes,62,Yes,Fiber optic,No internet,No internet,No,Month-to-month,Electronic check,99.75,6591.03,0
CUST-00026,Female,0,Yes,No,47,Yes,No,Yes,No,Yes,Two year,Bank transfer,87.75,4390.58,0
CUST-00027,Male,1,Yes,No,62,Yes,DSL,No,Yes,No internet,Two year,Bank transfer,74.69,4342.63,0
CUST-00028,Female,0,Yes,Yes,51,Yes,DSL,Yes,No internet,Yes,Month-to-month,Bank transfer,67.51,3581.52,0
CUST-00029,Male,1,No,No,55,Yes,Fiber optic,No internet,No internet,No internet,Two year,Credit card,112.24,5914.72,0
CUST-00030,Female,0,No,Yes,64,Yes,Fiber optic,No internet,No,No internet,Two year,Bank transfer,27.27,1674.59,0
CUST-00031,Female,1,No,No,3,Yes,Fiber optic,No,Yes,No,Month-to-month,Bank transfer,48.06,138.31,0
CUST-00032,Female,0,No,No,51,No,Fiber optic,No,Yes,No internet,One year,Credit card,54.99,2931.01,0
CUST-00033,Male,0,Yes,No,7,Yes,DSL,No,Yes,No,Month-to-month,Mailed check,98.24,650.52,1
CUST-00034,Female,0,No,Yes,21,Yes,Fiber optic,Yes,No internet,No,One year,Credit card,119.25,2254.28,0
CUST-00035,Male,0,Yes,No,39,Yes,No,Yes,No,No internet,Month-to-month,Electronic check,44.07,1792.72,1
CUST-00036,Male,0,No,No,18,Yes,Fiber optic,Yes,No internet,Yes,Month-to-month,Credit card,107.43,1806.57,1
CUST-00037,Male,0,No,Yes,4,Yes,Fiber optic,Yes,No,No internet,Month-to-month,Credit card,103.06,379.63,0
CUST-00038,Female,0,Yes,Yes,60,Yes,DSL,Yes,No,No internet,Month-to-month,Mailed check,42.47,2414.43,0
CUST-00039,Male,0,Yes,Yes,14,Yes,DSL,No internet,No internet,Yes,Two year,Mailed check,59.93,818.87,0
CUST-00040,Female,0,No,Yes,9,Yes,DSL,No internet,No,No,Month-to-month,Bank transfer,60.97,546.09,0
CUST-00041,Male,0,Yes,Yes,53,Yes,Fiber optic,No internet,No,No,Month-to-month,Credit card,117.82,5675.68,1
CUST-00042,Male,1,No,Yes,2,Yes,No,Yes,No,No internet,Two year,Mailed check,38.09,83.35,0
CUST-00043,Male,1,No,Yes,60,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Electronic check,99.92,6254.27,0
